epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3317,2.53204,5.86724,4.25212,2.80033,0.30954,0.12035,0.00979,0.00369,0.10009,0.01295,0.00057,6e-05,2.42485,5.39306,27.3435,2.68773,0.00014007,0.00014007,0.00014007
2,97.5608,2.35125,4.41861,4.57386,2.48627,0.20866,0.01233,0.00185,0.00034,0.20289,0.00109,0.00058,0.00013,3.72877,67.4842,inf,11.7951,0.000275452,0.000275452,0.000275452
3,133.222,2.5943,4.69097,8.83723,2.73253,0.00066,0.02432,0.00037,0.00012,0,0,0,0,nan,nan,nan,nan,0.000399213,0.000399213,0.000399213
4,168.047,2.39562,4.20072,5.64387,2.5436,0.30205,0.00363,0.00055,0.00021,0.30039,0.00073,6e-05,1e-05,4.64463,66.9502,inf,5.35735,0.000511352,0.000511352,0.000511352
5,200.975,2.62463,4.23725,6.23021,2.74817,0.30205,0.00363,0.00055,0.00021,0.30039,0.00073,6e-05,1e-05,nan,nan,nan,nan,0.000561347,0.000561347,0.000561347
6,228.628,2.45597,3.96261,3.81679,2.65254,0.40132,0.02029,0.00083,0.00022,0.40168,0.025,0.00074,0.00013,3.11151,7.006,inf,5.1391,0.000534934,0.000534934,0.000534934
7,256.326,2.29824,3.61242,3.78741,2.49764,0.00038,0.01626,0.0002,5e-05,8e-05,0.01227,4e-05,1e-05,3.13757,6.69611,37.8374,4.74651,0.000508521,0.000508521,0.000508521
8,283.89,2.32185,3.55525,3.36888,2.53589,0.3011,0.09075,0.0012,0.00034,0.50021,0.01418,0.00024,5e-05,2.96189,7.19896,4.50564,5.35202,0.000482108,0.000482108,0.000482108
9,311.38,2.19656,3.61394,3.24082,2.46618,0.20479,0.12208,0.00772,0.0021,0.30277,0.03455,0.00259,0.00054,2.72246,4.85459,7.61523,3.34147,0.000455694,0.000455694,0.000455694
10,338.729,2.03069,3.31795,3.09375,2.31016,0.40787,0.06109,0.01378,0.00441,0.40636,0.04218,0.0066,0.00176,2.39274,4.32169,4.46126,2.83069,0.000429281,0.000429281,0.000429281
11,366.577,1.92274,3.19415,2.79748,2.20637,0.84659,0.07705,0.07294,0.02533,0.84698,0.07301,0.05797,0.01837,2.2202,3.62225,3.27349,2.6259,0.000402868,0.000402868,0.000402868
12,394.671,1.90964,3.16913,2.76564,2.17565,0.93768,0.048,0.06778,0.02696,0.84145,0.10604,0.06038,0.02278,1.99854,3.33628,2.88127,2.41422,0.000376455,0.000376455,0.000376455
13,422.733,1.83821,3.05354,2.6127,2.14302,0.88692,0.09884,0.1063,0.04241,0.87629,0.09544,0.08298,0.03284,1.99242,3.18311,2.57529,2.4258,0.000350042,0.000350042,0.000350042
14,450.681,1.91116,2.83719,2.53315,2.13743,0.94516,0.06909,0.08261,0.03681,0.83635,0.09628,0.05686,0.02292,2.06598,3.05449,2.84022,2.49468,0.000323628,0.000323628,0.000323628
15,478.079,1.74357,2.74874,2.32199,1.99762,0.90364,0.11537,0.12496,0.05511,0.88833,0.10603,0.09803,0.04066,1.90332,3.07176,2.50962,2.37176,0.000297215,0.000297215,0.000297215
16,506.603,1.64818,2.95745,2.53876,2.08706,0.89068,0.11881,0.11588,0.0439,0.87903,0.10267,0.08973,0.03486,1.94397,3.06818,2.62792,2.3848,0.000270802,0.000270802,0.000270802
17,534.101,1.63691,2.84042,2.36384,2.04821,0.89683,0.12244,0.14519,0.07321,0.89445,0.1207,0.11546,0.04985,1.74854,2.99681,2.27194,2.26259,0.000244389,0.000244389,0.000244389
18,561.782,1.57729,2.81504,2.26536,2.0238,0.88822,0.14,0.14216,0.069,0.88525,0.12439,0.11268,0.05185,1.70221,2.90921,2.20396,2.20347,0.000217976,0.000217976,0.000217976
19,588.883,1.58863,2.80225,2.22406,2.02862,0.9334,0.1387,0.15476,0.08116,0.922,0.12263,0.12372,0.05624,1.67819,2.84558,2.07681,2.16447,0.000191562,0.000191562,0.000191562
20,616.415,1.52335,2.75573,2.09378,2.02114,0.93426,0.14459,0.16557,0.08775,0.92317,0.12924,0.13374,0.06147,1.6299,2.84558,2.04296,2.13745,0.000165149,0.000165149,0.000165149
21,644.043,1.51588,2.72672,2.0528,1.99142,0.92539,0.14382,0.16919,0.09288,0.91202,0.13148,0.13554,0.06434,1.58862,2.77964,1.97793,2.08873,0.000138736,0.000138736,0.000138736
22,671.599,1.53925,2.70101,2.08318,1.98266,0.83064,0.14721,0.16197,0.09079,0.8205,0.13468,0.12788,0.05968,1.57001,2.75885,1.92524,2.06927,0.000112323,0.000112323,0.000112323
23,698.463,1.45104,2.71246,1.99087,1.91953,0.83177,0.15341,0.16255,0.08725,0.82085,0.13343,0.12689,0.05971,1.62856,2.75171,1.94517,2.12477,8.59096e-05,8.59096e-05,8.59096e-05
24,725.446,1.39936,2.60151,1.93848,1.88867,0.83158,0.15277,0.16965,0.09462,0.82085,0.13251,0.13,0.06331,1.56305,2.75914,1.89121,2.06147,5.94964e-05,5.94964e-05,5.94964e-05
25,753.032,1.43407,2.60624,1.91174,1.90933,0.83472,0.15373,0.17603,0.10119,0.8198,0.13433,0.13378,0.06741,1.50384,2.75234,1.85238,2.00237,3.30832e-05,3.30832e-05,3.30832e-05
