epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1519,2.42075,4.80815,4.46239,2.59308,0.20274,0.13321,0.00218,0.00075,0.20003,0.00145,2e-05,0,2.80465,33.7961,inf,6.54806,0.000217393,0.000217393,0.000217393
2,99.9164,1.98401,3.67228,3.36924,2.20284,0.46124,0.10594,0.05104,0.01867,0.33193,0.11432,0.02134,0.00574,2.42282,7.72149,65.1346,3.44251,0.000422313,0.000422313,0.000422313
3,141.77,1.9784,3.50533,2.98256,2.18468,0.22781,0.09668,0.02998,0.00946,0.12302,0.07765,0.01469,0.00325,2.62893,5.26733,10.6462,3.71853,0.000609624,0.000609624,0.000609624
4,182.759,1.95961,3.37246,2.89827,2.11639,0.12852,0.11951,0.02293,0.00637,0.13967,0.102,0.03485,0.00782,2.47414,5.04683,10.4458,2.98968,0.00058776,0.00058776,0.00058776
5,223.955,1.82289,3.07315,2.55962,2.07183,0.77684,0.07891,0.10673,0.05907,0.77466,0.06797,0.07016,0.0269,1.77707,3.97602,2.7714,2.31756,0.000561347,0.000561347,0.000561347
6,265.495,1.75182,3.01851,2.39343,2.02578,0.8834,0.12947,0.11349,0.04965,0.87648,0.10616,0.08899,0.03085,1.7565,3.12025,2.70511,2.28282,0.000534934,0.000534934,0.000534934
7,306.244,1.74934,2.9251,2.29415,2.01103,0.89591,0.10866,0.12493,0.05995,0.88039,0.09013,0.0751,0.02261,1.94227,3.11314,2.5134,2.41371,0.000508521,0.000508521,0.000508521
8,347.451,1.66433,2.86223,2.06734,1.90675,0.93741,0.15284,0.17213,0.07821,0.92964,0.13829,0.13345,0.0606,1.79575,2.85632,2.00787,2.19479,0.000482108,0.000482108,0.000482108
9,389.236,1.65522,2.71492,2.06861,1.92273,0.92463,0.15889,0.1765,0.09478,0.91559,0.14193,0.13718,0.0671,1.58012,2.88107,1.9382,2.01479,0.000455694,0.000455694,0.000455694
10,430.978,1.58162,2.73803,1.96834,1.87923,0.85648,0.14816,0.08312,0.03649,0.8641,0.13296,0.07343,0.03239,1.7203,2.76689,2.42815,2.09846,0.000429281,0.000429281,0.000429281
11,471.934,1.5229,2.59919,1.82916,1.8167,0.94469,0.15757,0.18851,0.10261,0.92871,0.13793,0.1444,0.07121,1.57303,2.82652,1.87806,2.0103,0.000402868,0.000402868,0.000402868
12,513.46,1.55673,2.6149,1.88658,1.85689,0.88846,0.15904,0.1422,0.07267,0.88588,0.13783,0.1066,0.05369,1.54693,2.80967,2.00929,1.99813,0.000376455,0.000376455,0.000376455
13,554.191,1.50388,2.66684,1.84257,1.80424,0.96527,0.16845,0.20942,0.12057,0.94416,0.14447,0.15147,0.08041,1.48549,2.70824,1.71707,1.92863,0.000350042,0.000350042,0.000350042
14,595.611,1.48073,2.52956,1.77421,1.78617,0.96891,0.16564,0.2171,0.12798,0.95125,0.14745,0.15923,0.0825,1.41582,2.74284,1.63758,1.89965,0.000323628,0.000323628,0.000323628
15,637.139,1.38588,2.58873,1.69802,1.72575,0.96951,0.17371,0.23126,0.13631,0.94976,0.15063,0.16045,0.08418,1.45938,2.69154,1.5747,1.89172,0.000297215,0.000297215,0.000297215
16,678.516,1.39101,2.57788,1.74344,1.83234,0.97195,0.16584,0.23147,0.13129,0.94899,0.14417,0.15559,0.08049,1.45558,2.71845,1.65547,1.87597,0.000270802,0.000270802,0.000270802
17,719.111,1.36388,2.5655,1.65092,1.80495,0.96152,0.1658,0.23646,0.13321,0.94518,0.14956,0.16451,0.08759,1.39081,2.63632,1.62202,1.85365,0.000244389,0.000244389,0.000244389
18,759.875,1.31815,2.54559,1.62403,1.75944,0.9822,0.16633,0.23741,0.13614,0.96146,0.14817,0.16339,0.08861,1.40096,2.60475,1.68739,1.9,0.000217976,0.000217976,0.000217976
19,800.557,1.27124,2.51063,1.60155,1.75933,0.93754,0.1959,0.24814,0.15564,0.85516,0.1586,0.17496,0.0947,1.28923,2.58529,1.4422,1.76547,0.000191562,0.000191562,0.000191562
20,841.156,1.22527,2.45204,1.50787,1.66469,0.92813,0.19585,0.23671,0.14173,0.95349,0.15425,0.16517,0.08956,1.35099,2.68413,1.45354,1.82653,0.000165149,0.000165149,0.000165149
21,881.358,1.20606,2.45544,1.43354,1.67617,0.92871,0.20365,0.25129,0.1593,0.85926,0.15423,0.16703,0.09568,1.28828,2.58664,1.38145,1.78279,0.000138736,0.000138736,0.000138736
22,922.005,1.18813,2.4054,1.39701,1.65889,0.82788,0.24489,0.25554,0.16008,0.87438,0.16212,0.17097,0.09791,1.22903,2.56243,1.34581,1.73797,0.000112323,0.000112323,0.000112323
23,962.745,1.12308,2.38629,1.34804,1.61895,0.93464,0.21256,0.26191,0.16229,0.87674,0.16002,0.17535,0.09783,1.24404,2.53807,1.32158,1.75246,8.59096e-05,8.59096e-05,8.59096e-05
24,1003.39,1.12135,2.37064,1.32465,1.63145,0.91785,0.21771,0.25869,0.16431,0.86905,0.16397,0.17144,0.09753,1.22543,2.52265,1.31024,1.73467,5.94964e-05,5.94964e-05,5.94964e-05
25,1044.06,1.07794,2.28298,1.27937,1.55469,0.92399,0.21458,0.26175,0.16573,0.87246,0.16867,0.17421,0.09831,1.20887,2.51546,1.28213,1.71547,3.30832e-05,3.30832e-05,3.30832e-05
