                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.6881,                 4.1353,                  4.235,                 2.0699,                0.73272,                0.10468,                0.02712,                 0.0106,                0.70723,                0.05455,                0.00588,                0.00149,                 1.9776,                 4.1444,                 57.535,                 2.4609,             0.00012892,             0.00012892,             0.00012892
                     12,                 1.3802,                 3.4471,                 2.7334,                 1.8254,                0.12324,                 0.1749,                0.02015,                0.00798,                0.30176,                 0.0476,                0.00138,                0.00029,                 1.8629,                 4.3423,                 75.048,                 2.4824,             0.00013176,             0.00013176,             0.00013176
                     13,                 1.6985,                 3.6011,                  4.056,                  2.113,                0.12324,                 0.1749,                0.02015,                0.00798,                0.30176,                 0.0476,                0.00138,                0.00029,                 1.8629,                 4.3423,                 75.048,                 2.4824,             0.00013302,             0.00013302,             0.00013302
                     14,                 1.5328,                 3.3634,                 3.4982,                 1.8337,                0.21751,                0.16015,                0.00822,                0.00339,                0.30471,                0.08006,                0.00328,                0.00088,                 1.9381,                 3.5826,                 85.334,                 2.5766,             0.00013269,             0.00013269,             0.00013269
                     15,                 1.3347,                 2.8236,                 3.1008,                 1.7912,                0.21751,                0.16015,                0.00822,                0.00339,                0.30471,                0.08006,                0.00328,                0.00088,                 1.9381,                 3.5826,                 85.334,                 2.5766,             0.00013077,             0.00013077,             0.00013077
                     16,                  1.197,                 2.6803,                  3.489,                 1.8753,                0.10814,                0.20046,                0.01482,                0.00645,                0.10539,                0.11807,                0.00985,                0.00369,                 1.8139,                 3.4474,                 26.128,                 2.5149,             0.00012728,             0.00012728,             0.00012728
                     17,                 1.3592,                 2.9625,                 2.9552,                 1.9872,                0.10814,                0.20046,                0.01482,                0.00645,                0.10539,                0.11807,                0.00985,                0.00369,                 1.8139,                 3.4474,                 26.128,                 2.5149,             0.00012219,             0.00012219,             0.00012219
                     18,                 1.4801,                 2.5377,                 3.0437,                  2.026,                0.47252,                0.14884,                0.10455,                0.05451,                0.34828,                0.09736,                0.04203,                0.01199,                 1.6874,                 4.9193,                 8.0266,                  2.343,             0.00011553,             0.00011553,             0.00011553
                     19,                  1.535,                 4.1132,                 2.4554,                 2.0795,                0.47252,                0.14884,                0.10455,                0.05451,                0.34828,                0.09736,                0.04203,                0.01199,                 1.6874,                 4.9193,                 8.0266,                  2.343,             0.00010727,             0.00010727,             0.00010727
                     20,                 1.4948,                 3.2593,                 3.0532,                 2.0926,                0.47252,                0.14884,                0.10455,                0.05451,                0.34828,                0.09736,                0.04203,                0.01199,                 1.6874,                 4.9193,                 8.0266,                  2.343,             9.7438e-05,             9.7438e-05,             9.7438e-05
                     21,                 1.8759,                 3.4441,                  3.028,                 2.3122,                0.63114,                0.13558,                 0.1284,                0.06776,                0.59066,                0.08963,                0.05762,                0.01712,                  1.649,                 4.5732,                 4.9418,                 2.2817,             8.6016e-05,             8.6016e-05,             8.6016e-05
                     22,                  1.416,                 3.2198,                 2.7348,                 2.0002,                0.63114,                0.13558,                 0.1284,                0.06776,                0.59066,                0.08963,                0.05762,                0.01712,                  1.649,                 4.5732,                 4.9418,                 2.2817,              7.301e-05,              7.301e-05,              7.301e-05
                     23,                 1.2614,                 3.1117,                  2.563,                 1.8944,                0.63114,                0.13558,                 0.1284,                0.06776,                0.59066,                0.08963,                0.05762,                0.01712,                  1.649,                 4.5732,                 4.9418,                 2.2817,             5.8419e-05,             5.8419e-05,             5.8419e-05
                     24,                 1.1542,                 2.9986,                 2.3028,                 1.6336,                0.73151,                0.17383,                0.16244,                0.08835,                0.71951,                0.12141,                0.10552,                0.04009,                  1.651,                  3.789,                 2.6759,                 2.2356,             4.2242e-05,             4.2242e-05,             4.2242e-05
                     25,                 1.2474,                 2.7303,                  2.166,                 1.8454,                0.73151,                0.17383,                0.16244,                0.08835,                0.71951,                0.12141,                0.10552,                0.04009,                  1.651,                  3.789,                 2.6759,                 2.2356,             2.4482e-05,             2.4482e-05,             2.4482e-05
