                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7964,                 5.8525,                 5.0751,                  2.981,                0.43214,                  0.005,                0.00429,                 0.0021,                0.00022,                0.03138,                0.00013,                  3e-05,                 3.0957,                 5.6384,                 4.1233,                 3.5492,              1.334e-05,              1.334e-05,              1.334e-05
                      2,                 2.3736,                  5.344,                 4.8044,                 2.8156,                0.52815,                  0.005,                0.00346,                0.00158,                 0.0003,                0.02834,                0.00017,                  4e-05,                 3.0711,                 5.5814,                 4.1335,                 3.5308,             3.2029e-05,             3.2029e-05,             3.2029e-05
                      3,                 2.1575,                 4.8435,                 5.3942,                 2.5382,                0.42865,                  0.005,                0.00368,                0.00159,                0.00023,                 0.0322,                0.00013,                  4e-05,                 3.0467,                 5.4937,                 4.1582,                 3.5177,             4.9134e-05,             4.9134e-05,             4.9134e-05
                      4,                  2.563,                 5.2732,                 4.9519,                 2.6578,                0.32915,                  0.005,                0.00362,                0.00151,                0.00029,                 0.0288,                0.00016,                  4e-05,                 3.0244,                 5.4553,                 4.1679,                 3.5018,             6.4654e-05,             6.4654e-05,             6.4654e-05
                      5,                 2.5265,                 5.1659,                 4.9705,                  2.718,                0.53304,                0.00496,                 0.0037,                0.00142,                0.00034,                0.03223,                 0.0002,                  4e-05,                 3.0018,                 5.3937,                 4.1811,                 3.4798,             7.8589e-05,             7.8589e-05,             7.8589e-05
                      6,                 2.3393,                 5.6181,                  4.855,                 2.6805,                0.20366,                  0.005,                0.00272,                0.00083,                0.00043,                0.03954,                0.00026,                  5e-05,                 2.9729,                 5.3482,                 4.1958,                 3.4664,             9.0939e-05,             9.0939e-05,             9.0939e-05
                      7,                 2.3435,                  5.128,                 4.6671,                 2.6805,                0.20183,                  0.005,                0.00291,                0.00076,                0.00063,                0.03438,                0.00039,                  9e-05,                 2.9668,                 5.3405,                 4.2048,                 3.4701,              0.0001017,              0.0001017,              0.0001017
                      8,                 1.9069,                 4.8943,                 4.1588,                 2.1754,                0.92572,                0.04873,                0.02956,                0.01009,                0.80145,                0.00618,                 0.0003,                  5e-05,                 2.3492,                 4.8232,                  5.147,                  2.748,             0.00011088,             0.00011088,             0.00011088
                      9,                 1.9591,                 4.3015,                 3.5815,                 2.2256,                 0.7215,                0.07015,                0.02678,                0.00886,                0.70045,                0.00145,                  6e-05,                  1e-05,                  2.284,                 4.6919,                 11.858,                 2.6325,             0.00011848,             0.00011848,             0.00011848
                     10,                 2.1245,                 4.0561,                 4.1534,                 2.3172,                0.73272,                0.10468,                0.02712,                 0.0106,                0.70723,                0.05455,                0.00588,                0.00149,                 1.9776,                 4.1444,                 57.535,                 2.4609,             0.00012449,             0.00012449,             0.00012449
