epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7856,2.94027,5.75312,4.85543,3.11765,0.00341,0.03919,0.00338,0.00067,0.0004,0.0163,0.00022,4e-05,3.06408,5.30269,4.77323,3.49186,1.334e-05,1.334e-05,1.334e-05
2,63.5999,2.75167,6.62203,4.50238,2.9671,0.00395,0.0424,0.00373,0.00067,0.00041,0.0163,0.00022,5e-05,3.03605,5.26221,4.78469,3.47428,3.20293e-05,3.20293e-05,3.20293e-05
3,78.1438,2.92644,5.74723,4.69212,3.01519,0.00389,0.0412,0.00325,0.00066,0.00054,0.0171,0.00029,8e-05,3.01521,5.23509,4.79127,3.46195,4.91339e-05,4.91339e-05,4.91339e-05
4,92.3971,2.27154,5.5195,4.60372,2.69853,0.004,0.05271,0.00338,0.00065,0.00036,0.01589,0.00019,5e-05,2.99964,5.2131,4.7942,3.4481,6.46536e-05,6.46536e-05,6.46536e-05
5,106.23,2.69199,6.04395,4.43111,3.02364,0.00388,0.05635,0.00322,0.00066,0.00049,0.0167,0.00026,8e-05,2.99391,5.192,4.79484,3.44619,7.85886e-05,7.85886e-05,7.85886e-05
6,120.066,2.39477,5.75533,4.41306,2.75682,0.00386,0.05231,0.00314,0.00063,0.00042,0.0163,0.00022,3e-05,2.98241,5.1685,4.79024,3.44163,9.09388e-05,9.09388e-05,9.09388e-05
7,134.009,2.54399,5.50304,4.62393,2.73231,0.00383,0.042,0.00311,0.00059,0.00054,0.0171,0.00029,7e-05,2.97012,5.15503,4.78691,3.43433,0.000101704,0.000101704,0.000101704
8,148.678,2.17831,4.67856,4.36792,2.43656,0.9085,0.04894,0.02294,0.01008,0.89815,0.01765,0.00703,0.00255,2.17156,5.06973,9.75868,2.72683,0.000110885,0.000110885,0.000110885
9,165.279,2.24978,4.16011,3.73764,2.37337,0.91291,0.05455,0.01692,0.00545,0.90249,0.03089,0.00732,0.00161,2.4701,4.59724,27.2237,2.78723,0.000118481,0.000118481,0.000118481
10,181.029,2.19553,3.66818,4.04794,2.33197,0.23381,0.0921,0.0085,0.00221,0.22796,0.02091,0.00287,0.00058,2.17784,4.08213,67.4267,2.38383,0.000124492,0.000124492,0.000124492
11,196.874,2.08696,3.44598,3.90249,2.17869,0.23381,0.0921,0.0085,0.00221,0.22796,0.02091,0.00287,0.00058,2.17784,4.08213,67.4267,2.38383,0.000128918,0.000128918,0.000128918
12,212.42,2.23957,3.35135,4.07329,2.40028,0.34635,0.12045,0.01138,0.00384,0.22639,0.07398,0.00283,0.00099,1.88424,3.78623,inf,2.23252,0.000131759,0.000131759,0.000131759
13,227.831,1.95252,3.3839,3.52205,2.10576,0.34635,0.12045,0.01138,0.00384,0.22639,0.07398,0.00283,0.00099,1.88424,3.78623,inf,2.23252,0.000133016,0.000133016,0.000133016
14,243.178,1.81677,2.92194,3.44261,1.96914,0.59297,0.10565,0.03456,0.01535,0.58936,0.07425,0.03169,0.01182,1.60075,3.64728,inf,2.04913,0.000132688,0.000132688,0.000132688
15,259.149,1.82705,3.08329,4.76226,2.00489,0.59297,0.10565,0.03456,0.01535,0.58936,0.07425,0.03169,0.01182,1.60075,3.64728,inf,2.04913,0.000130775,0.000130775,0.000130775
16,275.924,1.71274,3.11077,6.53316,2.06994,0.68647,0.18762,0.03016,0.01484,0.68351,0.13732,0.02654,0.01037,1.52386,3.31914,32.4366,1.90558,0.000127277,0.000127277,0.000127277
17,291.708,1.65911,3.0234,6.55431,2.02847,0.68647,0.18762,0.03016,0.01484,0.68351,0.13732,0.02654,0.01037,1.52386,3.31914,32.4366,1.90558,0.000122194,0.000122194,0.000122194
18,307.255,1.73794,3.17175,6.99316,2.09387,0.91899,0.09547,0.07752,0.03184,0.37884,0.19004,0.08192,0.02918,1.82464,3.34171,9.24752,2.03248,0.000115527,0.000115527,0.000115527
19,323.547,1.68969,2.94422,3.21056,2.06136,0.91899,0.09547,0.07752,0.03184,0.37884,0.19004,0.08192,0.02918,1.82464,3.34171,9.24752,2.03248,0.000107275,0.000107275,0.000107275
20,339.712,1.58826,2.98638,3.22101,2.03719,0.91899,0.09547,0.07752,0.03184,0.37884,0.19004,0.08192,0.02918,1.82464,3.34171,9.24752,2.03248,9.7438e-05,9.7438e-05,9.7438e-05
21,356.163,1.52753,3.00436,2.97948,1.9639,0.98671,0.07381,0.12746,0.06522,0.97767,0.06699,0.11096,0.04605,1.54897,3.05369,6.91637,1.85178,8.60163e-05,8.60163e-05,8.60163e-05
22,372.574,1.51535,2.54928,2.68849,1.81901,0.98671,0.07381,0.12746,0.06522,0.97767,0.06699,0.11096,0.04605,1.54897,3.05369,6.91637,1.85178,7.30098e-05,7.30098e-05,7.30098e-05
23,388.797,1.42787,2.64132,2.8316,1.79281,0.98671,0.07381,0.12746,0.06522,0.97767,0.06699,0.11096,0.04605,1.54897,3.05369,6.91637,1.85178,5.84185e-05,5.84185e-05,5.84185e-05
24,405.118,1.24851,2.52315,2.55153,1.78979,0.96434,0.10911,0.1531,0.09611,0.95713,0.09868,0.13504,0.06195,1.3158,2.99637,3.76145,1.65449,4.22424e-05,4.22424e-05,4.22424e-05
25,421.234,1.30213,2.55935,2.46817,1.74319,0.96434,0.10911,0.1531,0.09611,0.95713,0.09868,0.13504,0.06195,1.3158,2.99637,3.76145,1.65449,2.44816e-05,2.44816e-05,2.44816e-05
