epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1564,2.92455,5.63259,4.69363,3.07437,0.00114,0.096,0.00182,0.00045,0.00033,0.02126,0.00024,7e-05,3.04918,5.22228,4.35895,3.45761,1.334e-05,1.334e-05,1.334e-05
2,64.7193,2.7329,6.41253,4.51062,2.94966,0.00112,0.0952,0.00194,0.00047,0.00031,0.02006,0.00023,7e-05,3.02103,5.18061,4.36369,3.44096,3.20293e-05,3.20293e-05,3.20293e-05
3,79.5499,2.81593,5.78057,4.40423,2.97119,0.00109,0.09964,0.00196,0.00048,0.00032,0.02126,0.00026,8e-05,3.00381,5.15528,4.37921,3.43243,4.91339e-05,4.91339e-05,4.91339e-05
4,94.2954,2.26706,5.38226,4.37964,2.62203,0.00107,0.09804,0.00204,0.00049,0.00036,0.02407,0.00029,8e-05,2.98391,5.1376,4.38216,3.41617,6.46536e-05,6.46536e-05,6.46536e-05
5,108.908,2.67799,5.8728,4.45721,2.98651,0.00107,0.09844,0.00209,0.00051,0.00035,0.03595,0.00029,9e-05,2.98262,5.12608,4.38359,3.41968,7.85886e-05,7.85886e-05,7.85886e-05
6,123.531,2.47684,5.6167,4.38095,2.79914,0.00104,0.09804,0.0021,0.00055,0.0004,0.03996,0.00039,0.00011,2.97913,5.11571,4.38666,3.41993,9.09388e-05,9.09388e-05,9.09388e-05
7,138.143,2.59735,5.64079,4.44878,2.8127,0.00105,0.10004,0.00232,0.00062,0.00042,0.04197,0.00045,0.00012,2.97639,5.10302,4.39923,3.41869,0.000101704,0.000101704,0.000101704
8,152.872,2.58485,5.74989,4.69031,2.78352,0.00102,0.09884,0.00246,0.00067,0.00041,0.04117,0.00045,0.00011,2.97304,5.09235,4.4112,3.41407,0.000110885,0.000110885,0.000110885
9,168.25,2.53513,5.15652,4.35012,2.84928,0.90719,0.06538,0.02904,0.01202,0.89082,0.01404,0.00073,0.00017,2.11798,5.38049,22.9391,2.40912,0.000118481,0.000118481,0.000118481
10,184.784,2.5005,4.41921,3.99963,2.56712,0.781,0.01166,0.00167,0.00041,4e-05,0.00361,2e-05,1e-05,2.79146,5.28335,19.0296,2.81402,0.000124492,0.000124492,0.000124492
11,200.672,2.31585,4.38272,4.17242,2.41633,0.781,0.01166,0.00167,0.00041,4e-05,0.00361,2e-05,1e-05,2.79146,5.28335,19.0296,2.81402,0.000128918,0.000128918,0.000128918
12,216.663,2.62265,3.97141,4.15579,2.58456,0.76935,0.05375,0.09261,0.04778,0.76015,0.04894,0.06163,0.02229,1.9792,5.0355,24.6017,2.55531,0.000131759,0.000131759,0.000131759
