epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8258,2.55208,5.68491,4.73014,2.81882,0.00169,0.17618,0.00286,0.00065,0.00033,0.04725,0.00026,7e-05,2.95991,5.43682,4.32914,3.44919,0.00014007,0.00014007,0.00014007
2,91.7551,2.44161,4.46362,6.09437,2.61704,0.00042,0.03696,0.00042,0.00011,0.00016,0.01449,0.00013,3e-05,nan,3349.89,nan,nan,0.000275452,0.000275452,0.000275452
3,118.842,2.38726,4.85407,4.81053,2.59707,0.00107,0.00757,0.00056,0.00012,1e-05,0.005,1e-05,0,nan,nan,nan,nan,0.000399213,0.000399213,0.000399213
4,145.969,2.41699,4.23151,3.77648,2.6031,0.20527,0.05617,0.00401,0.00122,0.20334,0.02582,0.00194,0.00035,nan,nan,nan,nan,0.000511352,0.000511352,0.000511352
5,173.303,2.28823,3.97566,3.3602,2.59218,0.20467,0.03497,0.00153,0.00031,0.20362,0.01273,0.00097,0.00015,4.32014,10.5767,311.206,7.75958,0.000561347,0.000561347,0.000561347
6,200.37,2.32223,3.71267,4.93137,2.59064,0.20099,0.01243,0.0006,0.00018,0.10002,0.00036,0,0,3.78125,17.3909,inf,13.8907,0.000534934,0.000534934,0.000534934
7,227.68,2.44666,4.1925,3.52682,2.68544,0.1011,0.0508,0.00105,0.00031,0.00034,0.04037,0.00021,4e-05,3.06365,6.63552,inf,5.71553,0.000508521,0.000508521,0.000508521
8,254.962,2.19948,3.64521,3.21177,2.48155,0.10381,0.01054,0.00079,0.00015,0.10367,0.00436,0.0002,2e-05,3.30935,7.50883,inf,3.96247,0.000482108,0.000482108,0.000482108
9,281.997,2.11825,3.54635,3.07523,2.42123,0.11067,0.01269,0.00434,0.0011,0.1105,0.01124,0.00433,0.00097,2.88133,4.59102,4.46227,3.1973,0.000455694,0.000455694,0.000455694
10,309.651,1.92054,3.26279,2.84299,2.27987,0.65126,0.05018,0.02543,0.00793,0.62043,0.03688,0.01541,0.00439,2.42641,4.0033,3.26472,2.90104,0.000429281,0.000429281,0.000429281
11,337.313,1.84323,3.22883,2.6917,2.23536,0.55277,0.04691,0.0873,0.03656,0.44513,0.09838,0.06389,0.02286,1.98766,3.37374,3.13942,2.62966,0.000402868,0.000402868,0.000402868
12,365.083,1.83773,3.11654,2.64561,2.22371,0.73357,0.04642,0.08317,0.0334,0.65729,0.0636,0.05541,0.01974,1.96247,3.16396,2.69152,2.57275,0.000376455,0.000376455,0.000376455
13,392.211,1.75266,3.01085,2.50952,2.19913,0.69536,0.05563,0.09263,0.041,0.65942,0.06869,0.06314,0.02502,1.99834,3.16111,2.592,2.58923,0.000350042,0.000350042,0.000350042
14,419.895,1.79681,2.81594,2.45332,2.1839,0.79296,0.11682,0.12569,0.058,0.79734,0.07617,0.08595,0.03262,1.82453,3.11732,2.35254,2.41306,0.000323628,0.000323628,0.000323628
15,447.644,1.61036,2.81491,2.20677,2.04106,0.79649,0.11964,0.13752,0.06548,0.80715,0.09035,0.10622,0.04379,1.71697,2.96693,2.17091,2.37078,0.000297215,0.000297215,0.000297215
16,475.655,1.61278,2.96439,2.47554,2.18464,0.79463,0.14887,0.14915,0.07426,0.77679,0.13205,0.11441,0.05057,1.65985,3.05331,2.2442,2.31063,0.000270802,0.000270802,0.000270802
17,503.245,1.62508,2.81801,2.34546,2.1309,0.81442,0.1282,0.13394,0.07213,0.79783,0.11149,0.09907,0.04135,1.7108,3.1002,2.23993,2.32104,0.000244389,0.000244389,0.000244389
18,530.124,1.54029,2.85404,2.23622,2.1081,0.80861,0.12684,0.13988,0.07178,0.8087,0.1056,0.11359,0.05251,1.70083,2.9335,2.11566,2.34558,0.000217976,0.000217976,0.000217976
19,556.961,1.53001,2.8039,2.16453,2.06076,0.82673,0.13182,0.15275,0.07843,0.81601,0.11254,0.11774,0.0512,1.70127,2.97608,2.03847,2.34903,0.000191562,0.000191562,0.000191562
20,584.206,1.49497,2.72937,2.08085,2.10489,0.83718,0.12056,0.15312,0.08183,0.82615,0.10772,0.11924,0.05238,1.67552,2.90877,2.00447,2.30461,0.000165149,0.000165149,0.000165149
21,611.657,1.51668,2.71711,2.08147,2.11003,0.8374,0.13724,0.16075,0.0918,0.81796,0.11979,0.12343,0.05946,1.58586,2.83466,1.96805,2.2122,0.000138736,0.000138736,0.000138736
22,639.021,1.52901,2.69264,2.06149,2.0709,0.84141,0.13633,0.16502,0.09583,0.82055,0.12593,0.1297,0.06715,1.57881,2.80213,1.95393,2.18073,0.000112323,0.000112323,0.000112323
23,666.316,1.41502,2.64376,2.01298,1.99681,0.85462,0.13699,0.17013,0.09845,0.8321,0.12264,0.13398,0.06948,1.56867,2.81232,1.91587,2.16391,8.59096e-05,8.59096e-05,8.59096e-05
24,693.564,1.37954,2.59925,1.92011,1.94348,0.85222,0.14663,0.17284,0.10313,0.83391,0.12925,0.13379,0.07148,1.53087,2.78722,1.86243,2.13276,5.94964e-05,5.94964e-05,5.94964e-05
25,720.797,1.3555,2.6431,1.89058,1.96188,0.85203,0.14705,0.17893,0.10843,0.83357,0.12922,0.13687,0.07443,1.49437,2.76264,1.81962,2.09452,3.30832e-05,3.30832e-05,3.30832e-05
