epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4572,2.55156,5.90129,4.39661,2.82822,0.33506,0.06097,0.00142,0.00045,0.2223,0.00523,3e-05,0,2.88071,5.95464,inf,2.91943,0.00018009,0.00018009,0.00018009
2,114.578,2.32455,4.2092,5.72883,2.50558,0.33506,0.06097,0.00142,0.00045,0.2223,0.00523,3e-05,0,nan,nan,nan,nan,0.000352323,0.000352323,0.000352323
3,162.857,2.4328,4.57151,3.84919,2.61391,0.33506,0.06097,0.00142,0.00045,0.2223,0.00523,3e-05,0,4.06493,14621,inf,1736.42,0.000509764,0.000509764,0.000509764
4,195.579,2.27713,4.02535,3.56517,2.51337,0.00113,0.15903,0.00137,0.0003,5e-05,0.00521,2e-05,1e-05,3.3934,29.5407,inf,8.18735,0.00058776,0.00058776,0.00058776
5,227.069,2.17177,3.84376,3.48619,2.36716,0.00429,0.071,0.00453,0.00123,0.00237,0.04493,0.00165,0.00031,3.40568,6.93959,inf,5.08844,0.000561347,0.000561347,0.000561347
6,259.859,2.17253,3.69973,3.36487,2.33917,0.0022,0.02206,0.00117,0.00056,0.22223,0.0008,0,0,3.31603,23.6557,inf,5.50763,0.000534934,0.000534934,0.000534934
7,291.049,2.00007,3.58609,3.12238,2.20994,0.23388,0.08273,0.01602,0.005,0.34934,0.06949,0.00862,0.00204,2.56794,4.15761,inf,3.0227,0.000508521,0.000508521,0.000508521
8,322.677,1.95234,3.41094,2.89389,2.16773,0.47033,0.12609,0.02708,0.00943,0.47953,0.1181,0.03256,0.00999,2.12289,3.38636,5.59687,2.74244,0.000482108,0.000482108,0.000482108
9,354.221,1.93276,3.36558,2.73917,2.15094,0.33493,0.09521,0.00157,0.00065,0.00129,0.11176,0.00108,0.00032,2.52598,6.86153,inf,3.22186,0.000455694,0.000455694,0.000455694
10,385.131,1.85954,3.24117,2.69013,2.09442,0.77452,0.13974,0.1333,0.05944,0.77589,0.13615,0.12935,0.05642,1.78586,2.80062,2.58051,2.1955,0.000429281,0.000429281,0.000429281
11,416.525,1.75717,3.17851,2.60663,2.06025,0.80687,0.14622,0.16294,0.07853,0.80364,0.14424,0.15399,0.06457,1.72804,2.7303,2.35772,2.13752,0.000402868,0.000402868,0.000402868
12,448.18,1.7489,3.08531,2.44911,1.98515,0.803,0.1539,0.15248,0.07919,0.80491,0.14846,0.15074,0.07358,1.59595,2.60088,1.94588,1.96613,0.000376455,0.000376455,0.000376455
13,479.724,1.72588,3.03104,2.32397,1.96333,0.80555,0.16118,0.16362,0.08763,0.80749,0.1588,0.16535,0.09043,1.53289,2.46815,1.81659,1.93737,0.000350042,0.000350042,0.000350042
14,511.158,1.69977,2.94789,2.2799,1.95939,0.82854,0.16499,0.18108,0.10157,0.82835,0.16513,0.17922,0.09749,1.50145,2.49299,1.63611,1.89126,0.000323628,0.000323628,0.000323628
15,542.597,1.65628,3.00646,2.32787,1.9709,0.81495,0.17634,0.19494,0.11488,0.81278,0.17434,0.19072,0.1035,1.38292,2.41855,1.58645,1.8011,0.000297215,0.000297215,0.000297215
16,574.724,1.60463,2.98195,2.31785,1.99363,0.82123,0.18022,0.18905,0.11133,0.8256,0.1836,0.19234,0.105,1.47028,2.38999,1.52358,1.83491,0.000270802,0.000270802,0.000270802
17,605.928,1.53532,2.90619,2.147,1.94,0.81449,0.17876,0.18493,0.10451,0.81559,0.18132,0.18055,0.09901,1.48049,2.38236,1.53424,1.8931,0.000244389,0.000244389,0.000244389
18,636.623,1.54349,2.93248,2.16095,1.98671,0.79128,0.16305,0.18725,0.11072,0.79007,0.16026,0.1813,0.10343,1.35324,2.34056,1.89218,1.75113,0.000217976,0.000217976,0.000217976
19,667.34,1.46737,2.84108,2.0667,1.86385,0.81014,0.17725,0.20808,0.12853,0.80894,0.17825,0.20298,0.10586,1.3732,2.33595,1.71049,1.7717,0.000191562,0.000191562,0.000191562
20,698.482,1.45891,2.86877,2.02442,1.84713,0.94847,0.18039,0.2005,0.12088,0.94866,0.1792,0.19811,0.1093,1.33665,2.33821,1.45835,1.72169,0.000165149,0.000165149,0.000165149
21,729.155,1.44641,2.86512,1.96879,1.856,0.96773,0.19489,0.22309,0.14856,0.96567,0.19421,0.21838,0.12754,1.28105,2.25714,1.33002,1.67715,0.000138736,0.000138736,0.000138736
22,760.079,1.37165,2.76929,1.91505,1.79045,0.96254,0.19001,0.21998,0.14855,0.96249,0.18963,0.2179,0.13148,1.25765,2.22177,1.27216,1.66796,0.000112323,0.000112323,0.000112323
23,790.995,1.39833,2.77794,1.92922,1.82305,0.96085,0.19686,0.21742,0.14225,0.96124,0.19625,0.21743,0.13002,1.30381,2.21999,1.27796,1.69985,8.59096e-05,8.59096e-05,8.59096e-05
24,821.602,1.38264,2.8867,1.9153,1.82268,0.96884,0.19284,0.21879,0.14647,0.96925,0.19245,0.21843,0.1312,1.30006,2.22346,1.25961,1.70041,5.94964e-05,5.94964e-05,5.94964e-05
25,851.97,1.34317,2.76467,1.84332,1.78285,0.97857,0.19394,0.22407,0.15077,0.97628,0.19446,0.22109,0.1335,1.26433,2.21783,1.22433,1.6744,3.30832e-05,3.30832e-05,3.30832e-05
