epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9252,2.26819,4.59545,4.1661,2.5265,0.56643,0.16445,0.05235,0.01866,0.32052,0.10706,0.02274,0.00781,2.38133,8.90252,inf,3.79007,0.000217393,0.000217393,0.000217393
2,99.266,1.93409,3.63806,2.87621,2.22699,0.00974,0.22759,0.00944,0.00305,0.00373,0.06425,0.00249,0.00049,2.11156,4.85827,152.293,3.82897,0.000422313,0.000422313,0.000422313
3,140.638,1.99791,3.45858,2.64485,2.24912,0.34116,0.15187,0.02969,0.01095,0.30803,0.06904,0.00834,0.00145,2.22843,8.24118,56.599,3.54168,0.000609624,0.000609624,0.000609624
4,182.031,1.92788,3.28349,2.66668,2.18948,0.73278,0.10318,0.06329,0.01951,0.72402,0.06941,0.02952,0.00615,2.10044,5.47189,12.3598,2.62437,0.00058776,0.00058776,0.00058776
5,223.76,1.85174,3.08064,2.45448,2.1286,0.78475,0.08098,0.08018,0.02737,0.76294,0.06747,0.05059,0.01227,2.238,3.54183,4.21216,2.61605,0.000561347,0.000561347,0.000561347
6,265.598,1.80847,2.92251,2.30029,2.08955,0.76778,0.13368,0.13336,0.06059,0.76539,0.12709,0.09968,0.03521,1.77342,3.1591,3.62197,2.30596,0.000534934,0.000534934,0.000534934
7,307.244,1.74514,2.89987,2.22149,2.05031,0.78783,0.1402,0.15706,0.07206,0.78579,0.12139,0.11096,0.03997,1.74059,3.04373,2.38076,2.18017,0.000508521,0.000508521,0.000508521
8,349.146,1.65375,2.80479,2.00541,1.9684,0.92279,0.14564,0.1553,0.08314,0.9192,0.12561,0.11803,0.05652,1.68207,2.83039,1.99628,2.10165,0.000482108,0.000482108,0.000482108
9,390.979,1.6603,2.70609,2.04825,1.95616,0.7107,0.17855,0.16629,0.08763,0.69876,0.14615,0.12756,0.06011,1.63614,2.82033,2.60641,2.17344,0.000455694,0.000455694,0.000455694
10,432.766,1.50518,2.73582,1.88855,1.86355,0.93675,0.14652,0.1813,0.09724,0.91535,0.12705,0.12409,0.05588,1.64166,2.80649,1.93513,2.12733,0.000429281,0.000429281,0.000429281
11,474.263,1.50651,2.64692,1.79452,1.83577,0.96906,0.16084,0.20494,0.11558,0.94909,0.1412,0.14822,0.07203,1.56946,2.79059,1.65491,2.08064,0.000402868,0.000402868,0.000402868
12,515.623,1.48671,2.64872,1.75869,1.82315,0.95782,0.16012,0.20441,0.11348,0.93812,0.13866,0.13945,0.06589,1.55007,2.85072,1.69871,2.05713,0.000376455,0.000376455,0.000376455
13,556.551,1.47329,2.63063,1.7438,1.80009,0.9687,0.16812,0.21696,0.12615,0.95157,0.14899,0.1553,0.07765,1.43796,2.71115,1.5833,1.95787,0.000350042,0.000350042,0.000350042
14,597.781,1.47866,2.5075,1.66606,1.8248,0.97828,0.17425,0.21702,0.12729,0.95905,0.15519,0.1562,0.0818,1.45188,2.66005,1.52183,1.97218,0.000323628,0.000323628,0.000323628
15,639.479,1.38335,2.5777,1.62663,1.753,0.92851,0.20314,0.24326,0.14362,0.86379,0.16073,0.16208,0.09185,1.37837,2.59236,1.49838,1.89453,0.000297215,0.000297215,0.000297215
16,680.973,1.37566,2.56739,1.61374,1.85774,0.73019,0.20303,0.23936,0.1376,0.96199,0.14879,0.15077,0.08105,1.43231,2.60417,1.52659,1.9627,0.000270802,0.000270802,0.000270802
17,721.608,1.36589,2.54918,1.61268,1.83578,0.8219,0.19972,0.22231,0.12737,0.74621,0.13739,0.14785,0.08142,1.48176,2.62931,1.64271,1.98513,0.000244389,0.000244389,0.000244389
18,761.786,1.30636,2.52291,1.54684,1.75282,0.81463,0.21939,0.23884,0.14342,0.74726,0.14841,0.15287,0.08588,1.34754,2.58658,1.52763,1.87045,0.000217976,0.000217976,0.000217976
19,802.012,1.25907,2.48482,1.50713,1.73981,0.6957,0.24317,0.23524,0.13977,0.85528,0.15152,0.15611,0.08737,1.33662,2.53685,1.47189,1.81878,0.000191562,0.000191562,0.000191562
20,842.084,1.17765,2.3866,1.39453,1.64807,0.72632,0.24368,0.24773,0.15408,0.85693,0.15679,0.15979,0.09006,1.28558,2.59968,1.368,1.7882,0.000165149,0.000165149,0.000165149
21,882.868,1.19097,2.40291,1.33885,1.66009,0.82797,0.24831,0.24359,0.15598,0.77292,0.15997,0.15923,0.09546,1.25497,2.50322,1.31825,1.77379,0.000138736,0.000138736,0.000138736
22,923.68,1.176,2.36848,1.3111,1.64078,0.83215,0.24953,0.25002,0.16226,0.78096,0.17095,0.16494,0.09315,1.21392,2.54473,1.30123,1.7347,0.000112323,0.000112323,0.000112323
23,964.689,1.11677,2.34408,1.29547,1.60382,0.843,0.23676,0.25109,0.16427,0.76998,0.17286,0.16474,0.09596,1.1975,2.53926,1.25294,1.72718,8.59096e-05,8.59096e-05,8.59096e-05
24,1005.55,1.0966,2.33545,1.27362,1.60347,0.84544,0.24091,0.25221,0.16602,0.7702,0.1726,0.167,0.09661,1.18289,2.51866,1.23883,1.71598,5.94964e-05,5.94964e-05,5.94964e-05
25,1046.58,1.04072,2.26654,1.18784,1.53601,0.84591,0.23527,0.2516,0.16604,0.7742,0.17148,0.16894,0.09841,1.17325,2.50867,1.2303,1.71144,3.30832e-05,3.30832e-05,3.30832e-05
