                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7767,                 5.6855,                 5.1489,                 2.9759,                0.00266,                0.13019,                0.00342,                0.00068,                0.00038,                0.02785,                0.00024,                0.00011,                 3.1089,                 6.0069,                 4.6681,                 3.6097,              1.334e-05,              1.334e-05,              1.334e-05
                      2,                  2.357,                  5.514,                 4.3745,                 2.8017,                0.00237,                0.12719,                0.00324,                0.00068,                0.00042,                0.03003,                0.00027,                0.00013,                 3.0824,                 5.9341,                 4.6555,                 3.5884,             3.2029e-05,             3.2029e-05,             3.2029e-05
                      3,                  2.163,                 4.8849,                 5.2606,                 2.5662,                0.00261,                0.13842,                0.00354,                0.00081,                0.00069,                0.04112,                0.00044,                0.00017,                 3.0542,                 5.8247,                 4.6486,                 3.5822,             4.9134e-05,             4.9134e-05,             4.9134e-05
                      4,                 2.6053,                 5.3725,                 4.7269,                 2.6616,                0.00276,                0.13788,                0.00364,                0.00083,                0.00068,                0.03843,                0.00045,                0.00017,                 3.0341,                  5.774,                 4.6319,                 3.5683,             6.4654e-05,             6.4654e-05,             6.4654e-05
                      5,                 2.4854,                 5.2161,                  4.808,                 2.6948,                0.00267,                0.13373,                0.00361,                0.00084,                0.00091,                0.04954,                0.00063,                0.00019,                 3.0079,                 5.7113,                 4.5785,                 3.5513,             7.8589e-05,             7.8589e-05,             7.8589e-05
                      6,                 2.3803,                 5.5654,                 4.5613,                 2.6895,                0.00272,                0.14031,                0.00366,                0.00093,                0.00093,                0.05136,                0.00069,                 0.0002,                 2.9711,                 5.6439,                 4.5394,                  3.538,             9.0939e-05,             9.0939e-05,             9.0939e-05
                      7,                 2.3486,                 5.3758,                 4.3354,                 2.7266,                0.00241,                0.12866,                0.00348,                 0.0009,                0.00092,                0.05012,                0.00072,                0.00019,                 2.9674,                 5.6226,                 4.4841,                 3.5511,              0.0001017,              0.0001017,              0.0001017
                      8,                 1.8499,                 4.8943,                 4.1352,                 2.1828,                0.81945,                0.07127,                0.04494,                0.01726,                0.60479,                0.01828,                0.00048,                0.00017,                 2.3133,                 4.9562,                 13.432,                 2.6851,             0.00011088,             0.00011088,             0.00011088
                      9,                 2.1751,                 4.3159,                 3.7781,                 2.2976,                0.70854,                0.03227,                0.00612,                0.00171,                      0,                0.00036,                      0,                      0,                 2.5962,                 5.5328,                 8.3886,                 2.9912,             0.00011848,             0.00011848,             0.00011848
                     10,                 2.0929,                 4.0325,                  4.031,                 2.4938,                0.63609,                0.06949,                0.03691,                0.01329,                0.60209,                 0.0092,                0.00093,                0.00024,                 2.4436,                 4.6906,                 10.949,                 2.9543,             0.00012449,             0.00012449,             0.00012449
                     11,                 1.7163,                  4.203,                 3.2778,                 2.2121,                0.63609,                0.06949,                0.03691,                0.01329,                0.60209,                 0.0092,                0.00093,                0.00024,                 2.4436,                 4.6906,                 10.949,                 2.9543,             0.00012892,             0.00012892,             0.00012892
                     12,                   1.44,                 3.3533,                 2.7292,                  1.958,                0.51733,                0.05619,                0.01253,                0.00392,                0.50713,                0.01938,                 0.0024,                0.00053,                 2.3181,                 4.6343,                 12.578,                 2.7788,             0.00013176,             0.00013176,             0.00013176
                     13,                 1.5909,                 3.7353,                 3.4535,                 2.0345,                0.51733,                0.05619,                0.01253,                0.00392,                0.50713,                0.01938,                 0.0024,                0.00053,                 2.3181,                 4.6343,                 12.578,                 2.7788,             0.00013302,             0.00013302,             0.00013302
