                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.6512,                 3.2849,                 2.8035,                 1.9207,                0.42515,                0.14802,                 0.0196,                 0.0079,                0.42411,                0.11591,                0.01537,                0.00485,                 1.9589,                 3.6791,                 70.868,                 2.5159,             0.00013269,             0.00013269,             0.00013269
                     15,                  1.191,                 2.5428,                 2.4026,                 1.6124,                0.42515,                0.14802,                 0.0196,                 0.0079,                0.42411,                0.11591,                0.01537,                0.00485,                 1.9589,                 3.6791,                 70.868,                 2.5159,             0.00013077,             0.00013077,             0.00013077
                     16,                 1.0912,                 2.6617,                 3.6587,                 1.6901,                0.24006,                0.10063,                0.02972,                0.01005,                0.24515,                0.04607,                0.02728,                0.00762,                 2.0487,                 4.3553,                    inf,                 2.6642,             0.00012728,             0.00012728,             0.00012728
                     17,                 1.1743,                 2.2059,                 4.2019,                 1.9311,                0.24006,                0.10063,                0.02972,                0.01005,                0.24515,                0.04607,                0.02728,                0.00762,                 2.0487,                 4.3553,                    inf,                 2.6642,             0.00012219,             0.00012219,             0.00012219
                     18,                  1.228,                 2.4126,                 4.8811,                 1.8376,                0.01587,                0.17617,                0.00743,                0.00346,                0.40285,                0.03827,                0.00178,                0.00049,                 2.3384,                 4.6336,                    inf,                 2.8232,             0.00011553,             0.00011553,             0.00011553
                     19,                 1.5005,                 2.9726,                 3.2282,                 2.0697,                0.01587,                0.17617,                0.00743,                0.00346,                0.40285,                0.03827,                0.00178,                0.00049,                 2.3384,                 4.6336,                    inf,                 2.8232,             0.00010727,             0.00010727,             0.00010727
                     20,                 1.7809,                 2.8949,                 3.6069,                 2.1858,                0.01587,                0.17617,                0.00743,                0.00346,                0.40285,                0.03827,                0.00178,                0.00049,                 2.3384,                 4.6336,                    inf,                 2.8232,             9.7438e-05,             9.7438e-05,             9.7438e-05
                     21,                 1.5729,                 2.9448,                 3.3832,                 2.0504,                0.41901,                0.07828,                 0.0204,                0.00869,                0.41572,                0.06503,                0.01225,                0.00394,                 1.9028,                 4.3534,                 27.783,                 2.3861,             8.6016e-05,             8.6016e-05,             8.6016e-05
                     22,                 1.1831,                 2.4226,                 2.6436,                 1.7704,                0.41901,                0.07828,                 0.0204,                0.00869,                0.41572,                0.06503,                0.01225,                0.00394,                 1.9028,                 4.3534,                 27.783,                 2.3861,              7.301e-05,              7.301e-05,              7.301e-05
                     23,                 1.1154,                 2.3646,                 2.6208,                 1.6348,                0.41901,                0.07828,                 0.0204,                0.00869,                0.41572,                0.06503,                0.01225,                0.00394,                 1.9028,                 4.3534,                 27.783,                 2.3861,             5.8419e-05,             5.8419e-05,             5.8419e-05
                     24,                 1.1218,                 2.7385,                  2.377,                  1.643,                0.53689,                0.14045,                0.13298,                0.07409,                0.51068,                0.10748,                0.08136,                0.02687,                 1.6828,                  3.766,                 5.4214,                 2.1922,             4.2242e-05,             4.2242e-05,             4.2242e-05
                     25,                 1.2371,                 2.6864,                 2.2937,                  1.817,                0.53689,                0.14045,                0.13298,                0.07409,                0.51068,                0.10748,                0.08136,                0.02687,                 1.6828,                  3.766,                 5.4214,                 2.1922,             2.4482e-05,             2.4482e-05,             2.4482e-05
