epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9136,2.3097,4.66429,4.21051,2.5822,0.0153,0.20923,0.0119,0.00458,0.4041,0.04182,0.00357,0.00102,2.1228,6.74458,inf,3.61559,0.000217393,0.000217393,0.000217393
2,99.848,1.84377,3.41471,2.96056,2.17827,0.00154,0.16736,0.00126,0.00046,8e-05,0.00688,4e-05,1e-05,2.23601,10.1365,inf,3.75595,0.000422313,0.000422313,0.000422313
3,142.332,1.97917,3.39853,2.79207,2.30074,0.00186,0.08464,0.00117,0.00041,0.00036,0.04331,0.00022,6e-05,1.96959,4.9571,inf,3.23295,0.000609624,0.000609624,0.000609624
4,183.694,1.94187,3.46134,2.72476,2.26261,0.33401,0.15025,0.02429,0.0083,0.31839,0.10495,0.01155,0.00246,2.01784,4.01259,44.5212,2.85943,0.00058776,0.00058776,0.00058776
5,225.117,1.86087,3.09999,2.50094,2.20089,0.67918,0.12061,0.0414,0.01441,0.6924,0.09903,0.03977,0.01127,2.0983,5.02325,4.71744,2.87799,0.000561347,0.000561347,0.000561347
6,266.529,1.80434,2.96252,2.3487,2.14203,0.79967,0.11628,0.13837,0.05347,0.78241,0.09917,0.09721,0.03869,1.89219,3.09929,2.43621,2.52582,0.000534934,0.000534934,0.000534934
7,307.844,1.74166,2.86262,2.20733,2.1061,0.83517,0.13346,0.16353,0.07442,0.81752,0.1314,0.12284,0.05105,1.86763,2.96291,2.08006,2.45506,0.000508521,0.000508521,0.000508521
8,349.65,1.63796,2.79307,2.02525,2.02586,0.84207,0.13281,0.16813,0.08396,0.82136,0.1194,0.12412,0.06011,1.68269,2.93248,2.3404,2.22461,0.000482108,0.000482108,0.000482108
9,391.41,1.64299,2.70959,2.05189,1.99288,0.92354,0.1456,0.17001,0.09054,0.90988,0.12985,0.12346,0.05883,1.59993,2.78426,1.96038,2.19545,0.000455694,0.000455694,0.000455694
10,432.896,1.55782,2.74097,1.91839,1.95938,0.92814,0.14424,0.17422,0.09609,0.91336,0.13324,0.12219,0.05976,1.56651,2.78642,1.86308,2.19681,0.000429281,0.000429281,0.000429281
11,474.232,1.53827,2.62212,1.8092,1.92809,0.94408,0.15463,0.18975,0.10271,0.93514,0.13719,0.14133,0.06776,1.59085,2.80281,1.83827,2.16968,0.000402868,0.000402868,0.000402868
12,515.466,1.50905,2.58963,1.85208,1.90222,0.94917,0.15759,0.2022,0.11317,0.93317,0.14087,0.14354,0.069,1.47638,2.78817,1.72867,2.09245,0.000376455,0.000376455,0.000376455
13,556.746,1.47901,2.62883,1.79951,1.84994,0.95377,0.17968,0.21457,0.12226,0.84444,0.14895,0.15232,0.07824,1.43598,2.69779,1.62476,2.03069,0.000350042,0.000350042,0.000350042
14,597.903,1.49472,2.50874,1.69774,1.87213,0.97738,0.17527,0.23776,0.13429,0.95712,0.1544,0.16943,0.08912,1.43866,2.61982,1.51586,2.00479,0.000323628,0.000323628,0.000323628
15,639.246,1.40822,2.55355,1.62366,1.82303,0.9267,0.1971,0.23252,0.13436,0.85618,0.15172,0.15724,0.0855,1.41747,2.65653,1.56662,2.01791,0.000297215,0.000297215,0.000297215
16,680.345,1.40803,2.5483,1.67682,1.97866,0.95138,0.18923,0.25347,0.14053,0.84843,0.15046,0.15871,0.08647,1.44597,2.58348,1.5823,1.99932,0.000270802,0.000270802,0.000270802
17,721.302,1.38109,2.51578,1.58731,1.91443,0.92122,0.20301,0.24896,0.13948,0.95538,0.15578,0.16614,0.09187,1.43954,2.55375,1.52015,2.08632,0.000244389,0.000244389,0.000244389
18,761.913,1.39144,2.50806,1.61134,1.92444,0.71313,0.23916,0.24558,0.13735,0.85879,0.14978,0.16332,0.09041,1.45225,2.58969,1.47051,2.03292,0.000217976,0.000217976,0.000217976
19,802.137,1.3058,2.46218,1.56212,1.87705,0.71642,0.25053,0.24382,0.14301,0.8934,0.16184,0.17467,0.09722,1.36196,2.60305,1.46371,1.97452,0.000191562,0.000191562,0.000191562
20,842.743,1.23633,2.41536,1.43112,1.78194,0.7247,0.25092,0.25376,0.15218,0.68483,0.16486,0.16493,0.08775,1.31692,2.74462,1.40713,1.95164,0.000165149,0.000165149,0.000165149
21,882.788,1.20308,2.42107,1.39663,1.76364,0.87592,0.22719,0.2524,0.15397,0.77629,0.16682,0.16773,0.09551,1.30375,2.54656,1.35605,1.93741,0.000138736,0.000138736,0.000138736
22,923.562,1.22397,2.37479,1.417,1.79521,0.84202,0.22649,0.24397,0.15333,0.77292,0.16935,0.1677,0.09547,1.28259,2.56469,1.33069,1.91993,0.000112323,0.000112323,0.000112323
23,963.725,1.17264,2.36668,1.33838,1.75934,0.84227,0.22453,0.25371,0.15831,0.91421,0.16298,0.17595,0.09802,1.26571,2.52969,1.33954,1.89301,8.59096e-05,8.59096e-05,8.59096e-05
24,1004.38,1.14857,2.35432,1.29961,1.72215,0.85064,0.23792,0.26414,0.16458,0.78318,0.17045,0.175,0.1003,1.24379,2.52835,1.30422,1.8772,5.94964e-05,5.94964e-05,5.94964e-05
25,1044.99,1.11844,2.27759,1.26567,1.66282,0.85177,0.23553,0.26987,0.16986,0.7931,0.17006,0.17787,0.10199,1.21962,2.52315,1.27905,1.85622,3.30832e-05,3.30832e-05,3.30832e-05
