epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4227,2.09373,4.39208,3.83719,2.33655,0.8086,0.10148,0.03388,0.01799,0.79471,0.05576,0.01328,0.00357,1.79039,3.84966,51.0023,2.14557,0.000218363,0.000218363,0.000218363
2,134.561,1.79706,3.2862,2.83268,2.00048,0.17283,0.16298,0.05871,0.02063,0.17388,0.14654,0.05145,0.01728,1.94047,4.42937,24.7722,2.38874,0.000423245,0.000423245,0.000423245
3,183.945,1.82565,3.19834,2.62354,1.9927,0.86135,0.06939,0.10115,0.05001,0.13194,0.09954,0.02146,0.00497,1.58769,5.17143,11.668,2.23012,0.000610518,0.000610518,0.000610518
4,233.085,1.80191,3.3265,2.46068,2.00149,0.79727,0.14254,0.14622,0.06356,0.78171,0.13777,0.12626,0.03355,1.92343,3.49148,4.20376,2.54318,0.00058776,0.00058776,0.00058776
5,281.836,1.744,3.09466,2.23781,1.94484,0.93605,0.17193,0.17506,0.09713,0.93825,0.16954,0.17187,0.08819,1.61311,2.65683,1.67536,1.96305,0.000561347,0.000561347,0.000561347
6,330.658,1.68802,3.01923,2.1794,1.92208,0.80885,0.1762,0.16989,0.09518,0.81983,0.17163,0.18217,0.09051,1.51863,2.45791,2.02017,1.90813,0.000534934,0.000534934,0.000534934
7,379.146,1.61026,2.88427,2.01837,1.81825,0.96633,0.19255,0.21205,0.12816,0.96289,0.19045,0.20686,0.09979,1.36943,2.44031,1.31845,1.70136,0.000508521,0.000508521,0.000508521
8,427.878,1.56047,2.93622,2.01458,1.81961,0.9715,0.18325,0.20364,0.11588,0.97126,0.18059,0.2015,0.10158,1.52754,2.42266,1.42464,1.84169,0.000482108,0.000482108,0.000482108
9,475.816,1.60159,2.78353,1.92506,1.85446,0.96753,0.16105,0.20521,0.1141,0.97055,0.16593,0.20513,0.10669,1.58398,2.50014,1.53889,1.87188,0.000455694,0.000455694,0.000455694
10,523.883,1.52495,2.83119,1.94375,1.80009,0.97155,0.20342,0.21695,0.14257,0.97085,0.20193,0.2133,0.13469,1.23085,2.29936,1.30339,1.60942,0.000429281,0.000429281,0.000429281
11,572.323,1.47414,2.67609,1.81777,1.7495,0.98181,0.20087,0.21464,0.14423,0.98118,0.19992,0.21204,0.12379,1.22288,2.33733,1.15734,1.62499,0.000402868,0.000402868,0.000402868
12,620.391,1.45065,2.7694,1.76858,1.72637,0.98332,0.2091,0.21933,0.15236,0.98114,0.20675,0.21273,0.11949,1.18408,2.28188,1.1226,1.58383,0.000376455,0.000376455,0.000376455
13,668.356,1.42284,2.80253,1.73583,1.70682,0.99355,0.21504,0.22134,0.15252,0.99047,0.21191,0.21734,0.12445,1.15647,2.27076,1.08019,1.57896,0.000350042,0.000350042,0.000350042
14,716.997,1.40094,2.66784,1.73429,1.71303,0.99168,0.21601,0.22741,0.15263,0.98969,0.21401,0.2256,0.13495,1.21785,2.23202,1.11718,1.58116,0.000323628,0.000323628,0.000323628
15,765.518,1.41156,2.59396,1.72467,1.70449,0.99022,0.21026,0.22505,0.15209,0.98708,0.21458,0.22126,0.14602,1.15921,2.11566,1.04297,1.52691,0.000297215,0.000297215,0.000297215
16,815.203,1.27948,2.69792,1.6149,1.71034,0.99264,0.21512,0.22556,0.16116,0.99134,0.21393,0.21981,0.13752,1.11298,2.16749,1.0137,1.52083,0.000270802,0.000270802,0.000270802
17,863.869,1.33088,2.68292,1.62355,1.7536,0.98773,0.20853,0.24523,0.16148,0.98583,0.20653,0.21762,0.14056,1.06842,2.20018,1.03445,1.47956,0.000244389,0.000244389,0.000244389
18,912.028,1.28202,2.64956,1.54528,1.70755,0.99492,0.21619,0.22607,0.16064,0.99079,0.21219,0.21829,0.13393,1.07814,2.23655,0.94051,1.51454,0.000217976,0.000217976,0.000217976
19,959.272,1.25747,2.60964,1.50238,1.70779,0.9907,0.20258,0.21929,0.15575,0.98642,0.20577,0.21756,0.14739,1.08903,2.09832,0.99174,1.49116,0.000191562,0.000191562,0.000191562
20,1006.58,1.1745,2.54122,1.42987,1.63214,0.99359,0.21277,0.22259,0.16221,0.98761,0.20667,0.21444,0.13161,1.07646,2.26067,0.97699,1.51928,0.000165149,0.000165149,0.000165149
21,1053.84,1.17501,2.55733,1.38241,1.63201,0.99393,0.21824,0.22258,0.16357,0.99441,0.21671,0.22063,0.14807,1.06786,2.09073,0.86035,1.51213,0.000138736,0.000138736,0.000138736
22,1101.64,1.14735,2.49855,1.34351,1.57891,0.54162,0.21981,0.22353,0.16802,0.53914,0.21741,0.21902,0.14363,0.9796,2.10612,0.87194,1.42961,0.000112323,0.000112323,0.000112323
23,1149.02,1.09757,2.52507,1.30814,1.54716,0.99626,0.2172,0.22571,0.16953,0.99386,0.2148,0.21752,0.1489,0.96163,2.06524,0.84662,1.42572,8.59096e-05,8.59096e-05,8.59096e-05
24,1196.99,1.08733,2.44629,1.32031,1.54473,0.9955,0.2178,0.2239,0.17072,0.99352,0.21579,0.21863,0.15099,0.94576,2.04738,0.81617,1.39487,5.94964e-05,5.94964e-05,5.94964e-05
25,1244.88,1.05823,2.43781,1.27505,1.51354,0.99467,0.21955,0.2243,0.17263,0.99285,0.21786,0.21939,0.15171,0.92219,2.06874,0.78552,1.37602,3.30832e-05,3.30832e-05,3.30832e-05
