epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.862,2.08324,4.4721,3.83414,2.34653,0.4321,0.01994,0.01492,0.00438,0.13735,0.01245,0.00704,0.00238,2.18798,4.71999,inf,2.65194,0.000218363,0.000218363,0.000218363
2,135.055,1.79756,3.303,2.68639,2.07926,0.46763,0.11878,0.02144,0.00994,0.46747,0.11196,0.01995,0.00857,1.70261,3.79287,48.7063,2.55868,0.000423245,0.000423245,0.000423245
3,186.759,1.79123,3.23811,2.61853,2.084,0.82273,0.04252,0.03695,0.0187,0.81976,0.03971,0.02838,0.00751,1.70683,4.28058,38.8167,2.17202,0.000610518,0.000610518,0.000610518
4,235.824,1.73456,3.30614,2.47493,2.03576,0.68674,0.18036,0.17163,0.08124,0.69171,0.17329,0.16329,0.06276,1.62386,2.84249,2.60963,2.11721,0.00058776,0.00058776,0.00058776
5,284.412,1.72328,3.05998,2.23968,1.99922,0.93287,0.17846,0.17962,0.09245,0.9429,0.17832,0.18686,0.08267,1.46097,2.5455,2.54734,1.86137,0.000561347,0.000561347,0.000561347
6,333.213,1.64931,2.99273,2.20018,1.95375,0.93727,0.16831,0.17258,0.10468,0.94171,0.16913,0.1747,0.09491,1.46148,2.56385,1.59476,1.90651,0.000534934,0.000534934,0.000534934
7,381.456,1.54892,2.90458,1.99874,1.86948,0.95448,0.17995,0.18908,0.12219,0.95892,0.18239,0.19178,0.10151,1.35013,2.54359,1.37513,1.82102,0.000508521,0.000508521,0.000508521
8,430.218,1.57006,2.93883,1.99583,1.88723,0.97631,0.2021,0.21313,0.13689,0.97773,0.2014,0.21147,0.10662,1.29762,2.43875,1.41272,1.67784,0.000482108,0.000482108,0.000482108
9,478.946,1.52099,2.76218,1.86516,1.83084,0.96094,0.19234,0.20992,0.13829,0.96475,0.19045,0.20664,0.11605,1.2808,2.43007,1.38619,1.68799,0.000455694,0.000455694,0.000455694
10,527.266,1.48038,2.85803,1.87529,1.81976,0.98785,0.20411,0.21952,0.14678,0.98655,0.20292,0.21374,0.12752,1.26171,2.26748,1.18946,1.74089,0.000429281,0.000429281,0.000429281
11,575.719,1.43549,2.70203,1.80814,1.77981,0.97148,0.19772,0.21072,0.13997,0.97382,0.20533,0.21127,0.1258,1.2342,2.24473,1.28199,1.64504,0.000402868,0.000402868,0.000402868
12,623.582,1.42942,2.77532,1.75328,1.75689,0.98178,0.21269,0.22151,0.14719,0.98409,0.21124,0.21738,0.13002,1.25192,2.28814,1.12555,1.67818,0.000376455,0.000376455,0.000376455
13,672.218,1.37994,2.82401,1.71936,1.73707,0.98967,0.20925,0.22122,0.15198,0.98816,0.20855,0.217,0.13326,1.11712,2.28237,1.13785,1.6096,0.000350042,0.000350042,0.000350042
14,720.55,1.41386,2.69661,1.72852,1.78794,0.99127,0.21337,0.22439,0.1597,0.98759,0.20977,0.21663,0.12807,1.11733,2.2981,1.03222,1.60177,0.000323628,0.000323628,0.000323628
15,768.865,1.37603,2.62605,1.68467,1.73106,0.99324,0.2109,0.22072,0.15997,0.99215,0.21018,0.21753,0.14572,1.05206,2.20636,0.97578,1.49683,0.000297215,0.000297215,0.000297215
16,817.904,1.29884,2.72848,1.64752,1.75458,0.99143,0.21296,0.22085,0.15412,0.98768,0.21097,0.2149,0.13116,1.15158,2.19868,1.01433,1.58963,0.000270802,0.000270802,0.000270802
17,865.833,1.2971,2.65826,1.57412,1.77005,0.98639,0.2057,0.2175,0.15503,0.98949,0.20867,0.21747,0.14067,1.10589,2.1698,1.08065,1.54914,0.000244389,0.000244389,0.000244389
18,912.979,1.27566,2.64586,1.55806,1.75958,0.99549,0.21659,0.22622,0.16355,0.9935,0.21459,0.218,0.1381,1.06976,2.15273,0.92513,1.52012,0.000217976,0.000217976,0.000217976
19,960.151,1.24652,2.59615,1.49376,1.72957,0.99029,0.21738,0.22492,0.16703,0.98913,0.2165,0.21875,0.14765,1.0284,2.10643,0.88167,1.47942,0.000191562,0.000191562,0.000191562
20,1007.89,1.19972,2.56284,1.41556,1.67737,0.99489,0.21498,0.22631,0.16711,0.99327,0.21503,0.22151,0.14535,1.02033,2.14611,0.90819,1.51106,0.000165149,0.000165149,0.000165149
21,1055.09,1.16708,2.53365,1.36431,1.6748,0.99621,0.2196,0.22321,0.16904,0.99346,0.21668,0.21871,0.15158,0.99752,2.11472,0.84162,1.47839,0.000138736,0.000138736,0.000138736
22,1102.88,1.16894,2.50533,1.35391,1.63134,0.99415,0.21779,0.22302,0.16848,0.99377,0.2174,0.21971,0.14952,0.98335,2.11355,0.85153,1.45382,0.000112323,0.000112323,0.000112323
23,1150.04,1.08077,2.50532,1.32422,1.57943,0.99561,0.21981,0.22471,0.17177,0.99477,0.21861,0.21958,0.15094,0.96837,2.11463,0.84329,1.45359,8.59096e-05,8.59096e-05,8.59096e-05
24,1197.97,1.08173,2.43164,1.28971,1.58813,0.9965,0.2186,0.22548,0.17403,0.99401,0.2162,0.21818,0.15089,0.94372,2.10279,0.82518,1.43969,5.94964e-05,5.94964e-05,5.94964e-05
25,1245.8,1.05614,2.4412,1.25941,1.565,0.99634,0.21839,0.22476,0.17453,0.99475,0.21679,0.21959,0.15284,0.92919,2.07334,0.80131,1.43015,3.30832e-05,3.30832e-05,3.30832e-05
