epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0652,2.0651,4.36159,3.68995,2.29356,0.83594,0.15956,0.08061,0.03481,0.83099,0.14872,0.0675,0.01994,1.82067,3.31493,13.6105,2.38035,0.000218363,0.000218363,0.000218363
2,134.178,1.75474,3.28581,2.61944,2.0003,0.2938,0.21501,0.0792,0.03145,0.29246,0.21461,0.08429,0.03206,1.81333,3.05211,24.9606,2.53413,0.000423245,0.000423245,0.000423245
3,183.474,1.84068,3.15493,2.50172,2.05286,0.38624,0.17716,0.05564,0.02055,0.40303,0.17435,0.06998,0.02129,1.8861,3.26786,41.5939,2.53788,0.000610518,0.000610518,0.000610518
4,231.876,1.73869,3.26648,2.36125,2.02747,0.79299,0.14252,0.15853,0.09077,0.67211,0.1261,0.1275,0.03978,1.53713,3.30507,4.20931,1.95347,0.00058776,0.00058776,0.00058776
5,280.519,1.68656,3.03639,2.16101,1.95445,0.93864,0.1965,0.1931,0.10514,0.93588,0.19299,0.18631,0.09298,1.51488,2.40579,2.85946,2.03188,0.000561347,0.000561347,0.000561347
6,329.213,1.66922,3.0474,2.14346,1.95594,0.9395,0.14615,0.16577,0.09338,0.933,0.14416,0.16001,0.08198,1.51465,2.59307,2.05379,1.91742,0.000534934,0.000534934,0.000534934
7,377.159,1.60121,2.92683,2.01007,1.86813,0.61491,0.2194,0.21846,0.13878,0.84948,0.19406,0.2096,0.11826,1.31725,2.41774,1.59897,1.77891,0.000508521,0.000508521,0.000508521
8,425.712,1.5692,2.98186,2.00331,1.8627,0.97114,0.18574,0.20296,0.129,0.97296,0.18623,0.20013,0.11435,1.35654,2.49619,1.30593,1.69766,0.000482108,0.000482108,0.000482108
9,473.644,1.53601,2.77995,1.86283,1.82006,0.97943,0.21045,0.22768,0.14634,0.97843,0.2096,0.22487,0.13902,1.26184,2.28386,1.21504,1.6814,0.000455694,0.000455694,0.000455694
10,522.131,1.47648,2.80827,1.8535,1.78813,0.97798,0.20508,0.22257,0.13574,0.97995,0.20412,0.21961,0.12917,1.35779,2.42959,1.16759,1.70647,0.000429281,0.000429281,0.000429281
11,569.818,1.45454,2.71111,1.78509,1.74935,0.98584,0.20825,0.22207,0.14824,0.98266,0.20494,0.2141,0.12222,1.22925,2.3247,1.14414,1.64055,0.000402868,0.000402868,0.000402868
12,617.675,1.43208,2.75864,1.71866,1.73493,0.98774,0.21146,0.22235,0.15157,0.98567,0.20939,0.21802,0.13129,1.22714,2.37766,1.1225,1.65592,0.000376455,0.000376455,0.000376455
13,665.433,1.37172,2.8257,1.68729,1.70125,0.9855,0.21579,0.2254,0.15639,0.98394,0.21419,0.22226,0.14115,1.12145,2.28595,1.07115,1.6029,0.000350042,0.000350042,0.000350042
14,713.543,1.40494,2.66299,1.6914,1.73521,0.99421,0.21442,0.22509,0.14961,0.99314,0.21275,0.22107,0.1386,1.23777,2.2891,1.10245,1.62855,0.000323628,0.000323628,0.000323628
15,761.367,1.40568,2.60837,1.65603,1.72863,0.99408,0.21739,0.22248,0.16045,0.99336,0.2162,0.21772,0.1452,1.06664,2.27154,0.98474,1.50357,0.000297215,0.000297215,0.000297215
16,810.307,1.33147,2.70895,1.62865,1.75961,0.99005,0.2103,0.22155,0.15235,0.98974,0.21097,0.21646,0.13631,1.1624,2.14883,1.03384,1.57627,0.000270802,0.000270802,0.000270802
17,858.312,1.30754,2.65758,1.60215,1.75569,0.9922,0.21459,0.22239,0.15872,0.98944,0.21178,0.21608,0.13036,1.09524,2.19336,0.96163,1.55935,0.000244389,0.000244389,0.000244389
18,905.458,1.28254,2.63541,1.52868,1.742,0.98967,0.21566,0.22446,0.15805,0.98973,0.21057,0.21806,0.13999,1.1041,2.14255,1.01662,1.57346,0.000217976,0.000217976,0.000217976
19,952.645,1.25139,2.55484,1.50612,1.73702,0.87229,0.22373,0.22304,0.16607,0.87218,0.24317,0.2189,0.1498,1.02504,1.98356,0.94441,1.4862,0.000191562,0.000191562,0.000191562
20,1000.47,1.16643,2.5072,1.44547,1.67101,0.99454,0.21981,0.22329,0.16883,0.99145,0.21495,0.21879,0.14123,1.00903,2.06355,0.89121,1.48001,0.000165149,0.000165149,0.000165149
21,1047.77,1.17352,2.50959,1.41041,1.68128,0.99639,0.21963,0.22482,0.16783,0.99408,0.2173,0.22022,0.15176,1.02448,2.00146,0.8551,1.49152,0.000138736,0.000138736,0.000138736
22,1095.53,1.14172,2.50167,1.3656,1.595,0.9973,0.2182,0.22425,0.16958,0.99442,0.21499,0.21955,0.14877,0.98001,2.06444,0.85251,1.45293,0.000112323,0.000112323,0.000112323
23,1142.84,1.10605,2.51316,1.31733,1.59488,0.99784,0.21979,0.22384,0.1714,0.99439,0.21676,0.21987,0.15283,0.97012,2.09629,0.8488,1.46088,8.59096e-05,8.59096e-05,8.59096e-05
24,1190.76,1.0955,2.42725,1.308,1.57518,0.99698,0.22009,0.22479,0.17342,0.99411,0.21767,0.22096,0.15187,0.95818,2.04613,0.81857,1.44248,5.94964e-05,5.94964e-05,5.94964e-05
25,1238.62,1.05962,2.44263,1.26124,1.54461,0.99743,0.22021,0.22494,0.17447,0.99462,0.2174,0.22104,0.15251,0.94765,2.03002,0.79708,1.4263,3.30832e-05,3.30832e-05,3.30832e-05
