epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3259,2.59634,6.19204,4.691,2.88681,0.79979,0.03369,0.0178,0.005,0.44877,0.00361,0.00017,3e-05,2.64923,6.28974,37.438,2.74089,0.00018009,0.00018009,0.00018009
2,106.458,2.28653,4.32238,5.76766,2.47527,0.00113,0.00081,0.00058,0.0002,0,0,0,0,nan,nan,nan,nan,0.000352323,0.000352323,0.000352323
3,139.382,2.51389,4.56276,4.11744,2.65786,0.00113,0.00081,0.00058,0.0002,0,0,0,0,nan,nan,nan,nan,0.000509764,0.000509764,0.000509764
4,185.106,2.36238,4.19861,3.57034,2.56447,0.00113,0.00081,0.00058,0.0002,0,0,0,0,nan,nan,nan,nan,0.00058776,0.00058776,0.00058776
5,235.291,2.25652,3.89811,3.69742,2.52287,0.00113,0.00081,0.00058,0.0002,0,0,0,0,4.70437,nan,inf,367.214,0.000561347,0.000561347,0.000561347
6,268.515,2.1706,3.88472,3.47756,2.43379,0.11186,0.0008,0.00023,6e-05,0.11186,0.0008,0.00017,3e-05,3.74264,34.4319,335.066,4.806,0.000534934,0.000534934,0.000534934
7,300.08,2.02789,3.63641,3.03324,2.31002,0.03533,0.09953,0.02483,0.00798,0.14431,0.0856,0.01827,0.00507,2.32516,4.06491,8.56977,2.78643,0.000508521,0.000508521,0.000508521
8,331.6,1.9917,3.49362,2.83251,2.28228,0.61677,0.09872,0.08749,0.04586,0.6156,0.09876,0.08064,0.02619,1.85515,3.32174,4.20189,2.40315,0.000482108,0.000482108,0.000482108
9,363.138,1.86133,3.3738,2.66851,2.20035,0.50348,0.08025,0.06583,0.02689,0.51606,0.08548,0.06755,0.02808,2.16696,3.24946,3.48909,2.50434,0.000455694,0.000455694,0.000455694
10,394.008,1.86781,3.28838,2.68002,2.16712,0.94899,0.08664,0.11753,0.06082,0.94672,0.0843,0.10873,0.05409,1.69744,2.98429,2.75721,2.20554,0.000429281,0.000429281,0.000429281
11,425.685,1.76206,3.24261,2.59068,2.11921,0.85061,0.15783,0.13852,0.07227,0.8674,0.15414,0.14693,0.07017,1.58741,2.77338,2.96763,2.11942,0.000402868,0.000402868,0.000402868
12,457.152,1.66552,3.16545,2.44326,2.02704,0.90803,0.13787,0.15253,0.08295,0.91244,0.14632,0.15828,0.08166,1.5944,2.62773,1.97665,2.12711,0.000376455,0.000376455,0.000376455
13,488.704,1.69768,3.13622,2.32128,2.04981,0.91652,0.15424,0.15376,0.08905,0.91405,0.15061,0.15225,0.06896,1.55125,2.70187,1.88587,2.04467,0.000350042,0.000350042,0.000350042
14,519.352,1.70421,3.02807,2.3017,2.06359,0.88185,0.14815,0.14107,0.08506,0.89299,0.14559,0.14567,0.07447,1.54202,2.65818,1.77692,2.00229,0.000323628,0.000323628,0.000323628
15,549.683,1.64558,3.10271,2.35601,2.05209,0.93142,0.16871,0.16984,0.09742,0.93469,0.16915,0.17343,0.08624,1.58087,2.57935,1.71358,1.9925,0.000297215,0.000297215,0.000297215
16,581.365,1.66034,3.08225,2.428,2.1257,0.92078,0.16012,0.16258,0.09317,0.92225,0.15597,0.16465,0.0841,1.55984,2.51424,1.79503,2.01846,0.000270802,0.000270802,0.000270802
17,611.943,1.58731,3.00971,2.23011,2.07482,0.92142,0.14778,0.16408,0.10548,0.92198,0.15269,0.1606,0.09412,1.37127,2.49502,1.54702,1.88867,0.000244389,0.000244389,0.000244389
18,642.708,1.6019,3.0127,2.21594,2.13021,0.93488,0.18127,0.17741,0.1094,0.94642,0.1808,0.18618,0.10125,1.38521,2.49392,1.5139,1.87202,0.000217976,0.000217976,0.000217976
19,673.685,1.53225,2.88734,2.11673,2.00919,0.9397,0.18347,0.18375,0.11197,0.94426,0.1789,0.18608,0.10649,1.38196,2.40704,1.47514,1.88476,0.000191562,0.000191562,0.000191562
20,704.469,1.50746,2.91126,2.06075,1.98763,0.9329,0.17794,0.18413,0.10844,0.9368,0.17795,0.1841,0.108,1.45147,2.35552,1.47234,1.96502,0.000165149,0.000165149,0.000165149
21,734.922,1.5115,2.88981,2.02551,2.00231,0.94089,0.18982,0.18588,0.11705,0.9441,0.19003,0.18848,0.11286,1.34021,2.35046,1.44184,1.84007,0.000138736,0.000138736,0.000138736
22,765.994,1.47384,2.84638,1.9688,1.95355,0.94247,0.18559,0.18747,0.11571,0.9454,0.19003,0.1909,0.11386,1.33683,2.36784,1.44708,1.85298,0.000112323,0.000112323,0.000112323
23,797.044,1.47044,2.83136,2.00003,1.95026,0.94623,0.19243,0.19097,0.11764,0.95233,0.19285,0.19479,0.11661,1.27869,2.33793,1.40824,1.79007,8.59096e-05,8.59096e-05,8.59096e-05
24,828.12,1.44654,2.93965,1.92719,1.92871,0.95757,0.19627,0.19479,0.1218,0.96231,0.19768,0.19976,0.11862,1.27326,2.32739,1.35354,1.78233,5.94964e-05,5.94964e-05,5.94964e-05
25,859.117,1.42608,2.81336,1.91968,1.9059,0.95665,0.19284,0.19618,0.12279,0.96203,0.19566,0.2006,0.11898,1.28426,2.31989,1.33876,1.78836,3.30832e-05,3.30832e-05,3.30832e-05
