                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8233,                  5.378,                 5.4502,                  3.058,                 0.0029,                0.15565,                0.00522,                0.00157,                0.00146,                0.06511,                0.00328,                0.00079,                 3.0993,                 5.4635,                 4.2346,                 3.5219,              1.334e-05,              1.334e-05,              1.334e-05
                      2,                 2.3873,                 5.2891,                 4.6759,                 2.8262,                0.00295,                0.16371,                0.00537,                0.00162,                0.00142,                 0.0675,                0.00321,                0.00077,                  3.077,                 5.4374,                 4.2344,                  3.508,             3.2029e-05,             3.2029e-05,             3.2029e-05
                      3,                 2.1496,                 4.7656,                 5.4269,                 2.5352,                0.00284,                0.15507,                 0.0054,                0.00178,                0.00139,                0.07062,                0.00297,                0.00074,                 3.0562,                 5.3741,                 4.2394,                 3.4967,             4.9134e-05,             4.9134e-05,             4.9134e-05
                      4,                 2.5565,                 5.2426,                 4.7031,                 2.6841,                0.00272,                0.15205,                0.00537,                0.00182,                0.00137,                0.07453,                0.00293,                0.00074,                 3.0347,                 5.3568,                 4.2464,                 3.4833,             6.4654e-05,             6.4654e-05,             6.4654e-05
                      5,                 2.5115,                 5.1537,                 4.6982,                  2.724,                 0.0028,                0.16858,                0.00546,                0.00177,                0.00137,                0.07916,                0.00292,                0.00073,                 3.0098,                 5.3277,                 4.2439,                 3.4684,             7.8589e-05,             7.8589e-05,             7.8589e-05
                      6,                 2.3744,                 5.5093,                 4.7901,                 2.6961,                0.00283,                0.16303,                0.00572,                0.00179,                0.00141,                0.08186,                0.00291,                 0.0007,                 2.9751,                 5.2994,                 4.2552,                 3.4532,             9.0939e-05,             9.0939e-05,             9.0939e-05
                      7,                 2.4042,                  5.105,                 4.5093,                 2.7335,                0.00276,                0.16075,                 0.0054,                0.00175,                0.00138,                0.07618,                0.00267,                0.00063,                  2.965,                  5.298,                 4.2669,                 3.4506,              0.0001017,              0.0001017,              0.0001017
                      8,                 1.8163,                  5.315,                 4.0033,                 2.1432,                0.61098,                0.03418,                0.01048,                0.00389,                0.60031,                0.00109,                  5e-05,                  1e-05,                 2.3827,                 5.0776,                 7.3668,                 2.8165,             0.00011088,             0.00011088,             0.00011088
                      9,                 1.9897,                 4.2913,                 3.4808,                 2.2119,                 0.8371,                0.03818,                0.02843,                0.00992,                0.50287,                 0.0228,                0.00077,                0.00013,                 2.4348,                  4.379,                  34.32,                 2.8127,             0.00011848,             0.00011848,             0.00011848
                     10,                 1.7563,                 4.0891,                 3.7836,                  2.085,                0.51606,                0.08995,                0.01226,                0.00361,                0.50592,                0.03087,                0.00287,                0.00087,                 2.5298,                 3.9053,                    inf,                 3.3083,             0.00012449,             0.00012449,             0.00012449
