epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7139,2.34113,4.73694,4.21087,2.57924,0.20343,0.10299,0.00383,0.0012,0.00092,0.04192,0.0006,0.00011,2.86523,12.4055,inf,5.4217,0.000217393,0.000217393,0.000217393
2,99.7161,1.96017,3.51155,3.28635,2.20444,0.00679,0.01305,0.00373,0.00203,0.00229,0.01087,0.00118,0.00058,nan,nan,nan,nan,0.000422313,0.000422313,0.000422313
3,141.555,1.95287,3.54568,2.92793,2.13216,0.00878,0.3233,0.01211,0.00372,0.20234,0.09795,0.00266,0.00081,2.59858,38.6048,inf,4.19123,0.000609624,0.000609624,0.000609624
4,183.477,1.91959,3.43075,2.72429,2.09068,0.52431,0.06607,0.04146,0.0132,0.5197,0.05734,0.0246,0.00599,2.54063,3.9503,4.37886,3.22013,0.00058776,0.00058776,0.00058776
5,225.152,1.8698,3.11407,2.51985,2.09223,0.73036,0.0624,0.0319,0.00977,0.72378,0.05404,0.02038,0.00491,2.6415,3.90139,3.93658,3.21134,0.000561347,0.000561347,0.000561347
6,266.127,1.78322,3.01435,2.34717,2.03723,0.88031,0.12751,0.12478,0.05539,0.87718,0.10821,0.08819,0.03248,1.85522,3.47466,2.88294,2.31617,0.000534934,0.000534934,0.000534934
7,307.531,1.76265,2.91888,2.26222,2.05117,0.83452,0.12546,0.14541,0.07213,0.82066,0.11112,0.11107,0.04434,1.87302,2.9591,2.29367,2.27053,0.000508521,0.000508521,0.000508521
8,349.406,1.62913,2.82385,2.04666,1.91711,0.93231,0.13653,0.16439,0.09229,0.91363,0.12271,0.1243,0.05934,1.58237,2.81875,2.02024,2.03755,0.000482108,0.000482108,0.000482108
9,391.04,1.61861,2.7062,2.01569,1.88635,0.93642,0.1509,0.18858,0.10389,0.92233,0.13639,0.14317,0.06618,1.5755,2.85936,1.93489,2.04791,0.000455694,0.000455694,0.000455694
10,432.658,1.53028,2.74453,1.89848,1.83418,0.95828,0.14686,0.19125,0.10202,0.94083,0.13431,0.13738,0.0641,1.59688,2.85973,1.86767,2.02853,0.000429281,0.000429281,0.000429281
11,473.648,1.50341,2.65314,1.85881,1.80009,0.93203,0.14566,0.1783,0.09214,0.92589,0.12647,0.13555,0.06263,1.65641,2.77143,1.9256,2.02896,0.000402868,0.000402868,0.000402868
12,514.285,1.48632,2.60697,1.8242,1.80957,0.95699,0.16902,0.23906,0.12816,0.94558,0.15524,0.16407,0.08553,1.49879,2.73203,1.67682,1.94845,0.000376455,0.000376455,0.000376455
13,555.788,1.45493,2.63633,1.81835,1.75414,0.77546,0.20576,0.2234,0.12351,0.941,0.14303,0.1534,0.08098,1.52263,2.7475,1.70785,1.92183,0.000350042,0.000350042,0.000350042
14,596.415,1.4887,2.53133,1.74103,1.7775,0.90202,0.19523,0.22993,0.12781,0.86356,0.14991,0.1716,0.08721,1.55122,2.72698,1.64724,1.97696,0.000323628,0.000323628,0.000323628
15,637.843,1.45576,2.62432,1.70063,1.76606,0.91216,0.20594,0.2479,0.14406,0.96308,0.15443,0.16044,0.0853,1.46116,2.72495,1.52427,1.90204,0.000297215,0.000297215,0.000297215
16,679.155,1.40649,2.62225,1.77806,1.84888,0.93662,0.18542,0.23904,0.13976,0.85266,0.14483,0.15658,0.08021,1.45722,2.7076,1.73676,1.90307,0.000270802,0.000270802,0.000270802
17,719.765,1.36829,2.59627,1.664,1.79819,0.92169,0.20266,0.24792,0.14365,0.86221,0.16115,0.17278,0.09095,1.41093,2.67155,1.5485,1.87143,0.000244389,0.000244389,0.000244389
18,760.524,1.34329,2.54726,1.59428,1.76579,0.89885,0.21239,0.24704,0.15174,0.86162,0.15309,0.16575,0.0915,1.35139,2.59448,1.53966,1.81399,0.000217976,0.000217976,0.000217976
19,801.32,1.27764,2.51168,1.54423,1.76497,0.90448,0.20392,0.22826,0.1339,0.86016,0.15216,0.16054,0.08874,1.39658,2.62694,1.49438,1.85735,0.000191562,0.000191562,0.000191562
20,841.354,1.26677,2.44685,1.47648,1.70493,0.82028,0.23292,0.2396,0.14975,0.64724,0.18727,0.16487,0.09182,1.31495,2.59149,1.43308,1.78181,0.000165149,0.000165149,0.000165149
21,881.546,1.22604,2.4567,1.43694,1.66796,0.79979,0.25256,0.24606,0.15444,0.96513,0.15532,0.15989,0.09174,1.27457,2.60847,1.39046,1.76127,0.000138736,0.000138736,0.000138736
22,922.158,1.1659,2.42274,1.37199,1.63561,0.81768,0.23579,0.25699,0.16318,0.96666,0.16622,0.16821,0.09876,1.19026,2.56297,1.30536,1.70646,0.000112323,0.000112323,0.000112323
23,962.964,1.11112,2.3859,1.30138,1.60208,0.83033,0.23882,0.26178,0.16372,0.86521,0.16035,0.16951,0.09634,1.23041,2.58436,1.32837,1.73465,8.59096e-05,8.59096e-05,8.59096e-05
24,1003.11,1.13201,2.38251,1.31517,1.6251,0.93724,0.21584,0.26184,0.16687,0.87046,0.16259,0.17055,0.09747,1.20949,2.54652,1.31922,1.71266,5.94964e-05,5.94964e-05,5.94964e-05
25,1043.85,1.07939,2.31182,1.24951,1.5588,0.92997,0.22239,0.25879,0.16849,0.87252,0.16956,0.17369,0.09866,1.19763,2.52995,1.28771,1.70955,3.30832e-05,3.30832e-05,3.30832e-05
