epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3821,2.9416,5.4773,4.89871,3.10368,0.00247,0.13812,0.00429,0.00153,0.00158,0.06187,0.00295,0.00092,3.07201,5.15162,4.28739,3.4636,1.334e-05,1.334e-05,1.334e-05
2,44.4799,2.73682,6.26468,4.64979,2.95156,0.00258,0.15342,0.00461,0.00166,0.00159,0.06187,0.0033,0.00104,3.04915,5.10549,4.28958,3.44554,3.20293e-05,3.20293e-05,3.20293e-05
3,58.3024,2.89662,5.84488,4.62204,2.98628,0.00252,0.14012,0.00511,0.00179,0.00164,0.06832,0.00401,0.00131,3.03285,5.08043,4.29915,3.43436,4.91339e-05,4.91339e-05,4.91339e-05
4,72.1022,2.34063,5.41797,4.60639,2.66941,0.0025,0.13932,0.00505,0.00188,0.00164,0.06388,0.00418,0.00135,3.01599,5.06987,4.30281,3.42506,6.46536e-05,6.46536e-05,6.46536e-05
5,86.1184,2.71069,5.94707,4.6706,3.02895,0.0024,0.13166,0.00483,0.00179,0.00169,0.06428,0.00418,0.00125,3.01093,5.05521,4.31488,3.42628,7.85886e-05,7.85886e-05,7.85886e-05
6,99.9837,2.4704,5.40906,4.80337,2.81283,0.00239,0.16173,0.00454,0.00162,0.00165,0.05341,0.00367,0.00106,3.00498,5.05726,4.3282,3.42965,9.09388e-05,9.09388e-05,9.09388e-05
7,113.958,2.57604,5.47931,4.8921,2.7942,0.00235,0.16416,0.00424,0.00153,0.00157,0.05505,0.0034,0.00096,2.98798,5.05898,4.34302,3.41978,0.000101704,0.000101704,0.000101704
8,127.944,2.42641,5.95261,4.72146,2.67781,0.00237,0.16336,0.00415,0.00142,0.00157,0.04536,0.00335,0.00091,2.98965,5.05741,4.36139,3.4201,0.000110885,0.000110885,0.000110885
9,143.167,2.49829,5.23184,4.42559,2.82658,0.9074,0.02888,0.01727,0.00567,0.33447,0.01123,0.00048,8e-05,2.31546,5.32963,6.20574,2.58149,0.000118481,0.000118481,0.000118481
10,159.274,2.46306,4.39429,3.74529,2.57061,0.93651,0.0722,0.04133,0.01712,0.89434,0.0365,0.00333,0.00072,2.39592,5.86852,13.6047,2.58393,0.000124492,0.000124492,0.000124492
11,175.559,2.38465,4.34572,3.50444,2.36022,0.93651,0.0722,0.04133,0.01712,0.89434,0.0365,0.00333,0.00072,2.39592,5.86852,13.6047,2.58393,0.000128918,0.000128918,0.000128918
12,191.78,2.40966,3.87347,3.60574,2.45262,0.78732,0.06763,0.01426,0.00332,0.44703,0.04288,0.00181,0.00062,2.60907,4.69822,19.3468,2.62136,0.000131759,0.000131759,0.000131759
13,207.339,2.36116,3.91265,3.89538,2.33549,0.78732,0.06763,0.01426,0.00332,0.44703,0.04288,0.00181,0.00062,2.60907,4.69822,19.3468,2.62136,0.000133016,0.000133016,0.000133016
14,222.919,1.86936,3.4844,3.62171,1.98569,0.98039,0.06177,0.08353,0.03746,0.98099,0.06217,0.07957,0.0384,1.78958,3.97018,6.3626,2.33215,0.000132688,0.000132688,0.000132688
15,238.951,1.86419,3.61288,3.64712,2.08937,0.98039,0.06177,0.08353,0.03746,0.98099,0.06217,0.07957,0.0384,1.78958,3.97018,6.3626,2.33215,0.000130775,0.000130775,0.000130775
